Local_SKU,Myntra_SKU,SKU_ID,Category,Nykaa_SKU
BP9034_RED_COD-3XL,BNWMCOORD98690817,98690817,Co-Ords,BANIW00005622
BP9034_RED_COD-4XL,BNWMCOORD98690818,98690818,Co-Ords,BANIW00005623
BP9034_RED_COD-5XL,BNWMCOORD98690819,98690819,Co-Ords,BANIW00005624
BP9036_BLU_COD-3XL,BNWMCOORD98892026,98892026,Co-Ords,BANIW00005678
BP9036_BLU_COD-4XL,BNWMCOORD98892027,98892027,Co-Ords,BANIW00005679
BP9036_BLU_COD-5XL,BNWMCOORD98892028,98892028,Co-Ords,BANIW00005680
BP9036_PNK_COD-3XL,BNWMCOORD98322178,98322178,Co-Ords,BANIW00005586
BP9036_PNK_COD-4XL,BNWMCOORD98322180,98322180,Co-Ords,BANIW00005587
BP9036_PNK_COD-5XL,BNWMCOORD98322182,98322182,Co-Ords,BANIW00005588
BP9036_PNK_COD-6XL,BNWMCOORD98322184,98322184,Co-Ords,BANIW00005589
BP9043_RED_SKD-3XL,BNWMKASS98565645,98565645,Kurta Sets,BANIW00005517
BP9043_RED_SKD-4XL,BNWMKASS98565646,98565646,Kurta Sets,BANIW00005518
BP9043_RED_SKD-5XL,BNWMKASS98565647,98565647,Kurta Sets,BANIW00005519
BP9043_RED_SKD-6XL,BNWMKASS98565648,98565648,Kurta Sets,BANIW00005520
BP9043_YLO_SKD-3XL,BNWMKASS98565704,98565704,Kurta Sets,BANIW00005513
BP9043_YLO_SKD-4XL,BNWMKASS98565705,98565705,Kurta Sets,BANIW00005514
BP9044_BLK_SKD-3XL,BNWMKASS98565619,98565619,Kurta Sets,BANIW00005509
BP9044_BLK_SKD-4XL,BNWMKASS98565622,98565622,Kurta Sets,BANIW00005510
BP9044_BLK_SKD-5XL,BNWMKASS98565624,98565624,Kurta Sets,BANIW00005511
BP9044_BLK_SKD-6XL,BNWMKASS98565626,98565626,Kurta Sets,BANIW00005512
BP9044_FCS_SKD-3XL,BNWMKASS98565718,98565718,Kurta Sets,BANIW00005505
BP9044_FCS_SKD-4XL,BNWMKASS98565719,98565719,Kurta Sets,BANIW00005506
BP9044_FCS_SKD-5XL,BNWMKASS98565720,98565720,Kurta Sets,BANIW00005507
BP9044_FCS_SKD-6XL,BNWMKASS98565721,98565721,Kurta Sets,BANIW00005508
BP9046_BLK_COD-6XL,BNWMCOORD98322133,98322133,Co-Ords,BANIW00005579
BP9050_FCS_COD-3XL,BNWMCOORD98322114,98322114,Co-Ords,BANIW00005546
BP9050_FCS_COD-4XL,BNWMCOORD98322115,98322115,Co-Ords,BANIW00005547
BP9050_PPL_COD-3XL,BNWMCOORD98322110,98322110,Co-Ords,BANIW00005556
BP9050_PPL_COD-4XL,BNWMCOORD98322111,98322111,Co-Ords,BANIW00005557
BP9050_PPL_COD-5XL,BNWMCOORD98322112,98322112,Co-Ords,BANIW00005558
BP9050_PPL_COD-6XL,BNWMCOORD98322113,98322113,Co-Ords,BANIW00005559
BP9061_PNK_SKD-3XL,BNWMKASS98565556,98565556,Kurta Sets,BANIW00005471
BP9061_TEL_SKD-3XL,BNWMKASS98565515,98565515,Kurta Sets,BANIW00005475
BP9062_FCS_SKD-3XL,BNWMKASS98565536,98565536,Kurta Sets,BANIW00005489
BP9062_FCS_SKD-4XL,BNWMKASS98565537,98565537,Kurta Sets,BANIW00005490
BP9062_FCS_SKD-5XL,BNWMKASS98565538,98565538,Kurta Sets,BANIW00005491
BP9062_FCS_SKD-6XL,BNWMKASS98565539,98565539,Kurta Sets,BANIW00005492
BP9062_PPL_SKD-3XL,BNWMKASS98565495,98565495,Kurta Sets,BANIW00005493
